,sample,function,taxon,taxon_abun,taxon_rel_abun,genome_function_count,taxon_function_abun,taxon_rel_function_abun
0,Day01LowCrysWater3,K00451,ASV000001,2.7,6.870229007633652,1,2.7,6.870229007633652
1,Day01LowCrysWater3,K00451,ASV000002,5.58,14.19847328244288,1,5.58,14.19847328244288
2,Day01LowCrysWater3,K00451,ASV000004,0.36,0.9160305343511536,1,0.36,0.9160305343511536
3,Day01LowCrysWater3,K00451,ASV000005,0.04,0.10178117048346151,1,0.04,0.10178117048346151
4,Day01LowCrysWater3,K00451,ASV000006,0.91,2.3155216284987494,1,0.91,2.3155216284987494
5,Day01LowCrysWater3,K00451,ASV000010,2.54,6.463104325699806,2,5.08,12.926208651399612
6,Day01LowCrysWater3,K00451,ASV000012,0.42,1.0687022900763459,1,0.42,1.0687022900763459
7,Day01LowCrysWater3,K00451,ASV000013,0.39,0.9923664122137497,1,0.39,0.9923664122137497
8,Day01LowCrysWater3,K00451,ASV000014,0.11,0.27989821882951915,1,0.11,0.27989821882951915
9,Day01LowCrysWater3,K00451,ASV000016,1.24,3.155216284987307,2,2.48,6.310432569974614
10,Day01LowCrysWater3,K00451,ASV000017,0.08,0.20356234096692302,1,0.08,0.20356234096692302
11,Day01LowCrysWater3,K00451,ASV000019,0.36,0.9160305343511536,1,0.36,0.9160305343511536
12,Day01LowCrysWater3,K00451,ASV000022,0.1,0.2544529262086538,1,0.1,0.2544529262086538
13,Day01LowCrysWater3,K00451,ASV000023,0.03,0.07633587786259613,1,0.03,0.07633587786259613
14,Day01LowCrysWater3,K00451,ASV000029,0.04,0.10178117048346151,1,0.04,0.10178117048346151
15,Day01LowCrysWater3,K00451,ASV000031,0.31,0.7888040712468267,1,0.31,0.7888040712468267
16,Day01LowCrysWater3,K00451,ASV000039,0.02,0.050890585241730756,1,0.02,0.050890585241730756
17,Day01LowCrysWater3,K00451,ASV000045,0.07,0.17811704834605765,1,0.07,0.17811704834605765
18,Day01LowCrysWater3,K00451,ASV000046,0.01,0.025445292620865378,1,0.01,0.025445292620865378
19,Day01LowCrysWater3,K00451,ASV000048,0.01,0.025445292620865378,1,0.01,0.025445292620865378
20,Day01LowCrysWater3,K00451,ASV000056,0.09,0.2290076335877884,1,0.09,0.2290076335877884
21,Day01LowCrysWater3,K00451,ASV000077,0.02,0.050890585241730756,1,0.02,0.050890585241730756
22,Day01LowCrysWater3,K00451,ASV000081,0.04,0.10178117048346151,1,0.04,0.10178117048346151
23,Day01LowCrysWater3,K00451,ASV000088,0.05,0.1272264631043269,1,0.05,0.1272264631043269
24,Day01LowCrysWater3,K00451,ASV000089,0.01,0.025445292620865378,1,0.01,0.025445292620865378
25,Day01LowCrysWater3,K00451,ASV000094,0.03,0.07633587786259613,1,0.03,0.07633587786259613
26,Day01LowCrysWater3,K00451,ASV000095,0.03,0.07633587786259613,1,0.03,0.07633587786259613
27,Day01LowCrysWater3,K00451,ASV000097,0.05,0.1272264631043269,1,0.05,0.1272264631043269
28,Day01LowCrysWater3,K00451,ASV000099,0.13,0.3307888040712499,1,0.13,0.3307888040712499
29,Day01LowCrysWater3,K00451,ASV000100,0.02,0.050890585241730756,1,0.02,0.050890585241730756
30,Day01LowCrysWater3,K00451,ASV000102,0.01,0.025445292620865378,1,0.01,0.025445292620865378
31,Day01LowCrysWater3,K00451,ASV000103,0.01,0.025445292620865378,1,0.01,0.025445292620865378
32,Day01LowCrysWater3,K00451,ASV000116,0.1,0.2544529262086538,1,0.1,0.2544529262086538
33,Day01LowCrysWater3,K00451,ASV000118,0.01,0.025445292620865378,1,0.01,0.025445292620865378
34,Day01LowCrysWater3,K00451,ASV000123,0.08,0.20356234096692302,1,0.08,0.20356234096692302
35,Day01LowCrysWater3,K00451,ASV000124,0.12,0.3053435114503845,1,0.12,0.3053435114503845
36,Day01LowCrysWater3,K00451,ASV000130,0.06,0.15267175572519226,2,0.12,0.3053435114503845
37,Day01LowCrysWater3,K00451,ASV000142,0.01,0.025445292620865378,1,0.01,0.025445292620865378
38,Day01LowCrysWater3,K00451,ASV000154,0.03,0.07633587786259613,1,0.03,0.07633587786259613
39,Day01LowCrysWater3,K00451,ASV000167,0.02,0.050890585241730756,1,0.02,0.050890585241730756
40,Day01LowCrysWater3,K00451,ASV000172,0.01,0.025445292620865378,2,0.02,0.050890585241730756
41,Day01LowCrysWater3,K00451,ASV000176,0.05,0.1272264631043269,1,0.05,0.1272264631043269
42,Day01LowCrysWater3,K00451,ASV000185,0.01,0.025445292620865378,1,0.01,0.025445292620865378
43,Day01LowCrysWater3,K00451,ASV000197,0.01,0.025445292620865378,1,0.01,0.025445292620865378
44,Day01LowCrysWater3,K00451,ASV000205,0.01,0.025445292620865378,1,0.01,0.025445292620865378
45,Day01LowCrysWater3,K00451,ASV000214,0.05,0.1272264631043269,1,0.05,0.1272264631043269
46,Day01LowCrysWater3,K00451,ASV000220,0.01,0.025445292620865378,1,0.01,0.025445292620865378
47,Day01LowCrysWater3,K00451,ASV000225,0.01,0.025445292620865378,1,0.01,0.025445292620865378
48,Day01LowCrysWater3,K00451,ASV000235,0.01,0.025445292620865378,1,0.01,0.025445292620865378
49,Day01LowCrysWater3,K00451,ASV000244,0.01,0.025445292620865378,1,0.01,0.025445292620865378
50,Day01LowCrysWater3,K00451,ASV000246,0.01,0.025445292620865378,1,0.01,0.025445292620865378
51,Day01LowCrysWater3,K00451,ASV000269,0.05,0.1272264631043269,1,0.05,0.1272264631043269
52,Day01LowCrysWater3,K00451,ASV000275,0.01,0.025445292620865378,1,0.01,0.025445292620865378
53,Day01LowCrysWater3,K00451,ASV000280,0.04,0.10178117048346151,1,0.04,0.10178117048346151
54,Day01LowCrysWater3,K00451,ASV000281,0.01,0.025445292620865378,1,0.01,0.025445292620865378
55,Day01LowCrysWater3,K00451,ASV000314,0.01,0.025445292620865378,1,0.01,0.025445292620865378
56,Day01LowCrysWater3,K00451,ASV000388,0.01,0.025445292620865378,1,0.01,0.025445292620865378
57,Day01LowCrysWater3,K00451,ASV000396,0.01,0.025445292620865378,1,0.01,0.025445292620865378
58,Day01LowCrysWater3,K00451,ASV000411,0.01,0.025445292620865378,1,0.01,0.025445292620865378
59,Day01LowCrysWater3,K00451,ASV000440,0.01,0.025445292620865378,1,0.01,0.025445292620865378
60,Day01LowCrysWater3,K00451,ASV000449,0.02,0.050890585241730756,1,0.02,0.050890585241730756
61,Day01LowCrysWater3,K00451,ASV000464,0.01,0.025445292620865378,1,0.01,0.025445292620865378
62,Day01LowCrysWater3,K00451,ASV000480,0.01,0.025445292620865378,1,0.01,0.025445292620865378
63,Day01LowCrysWater3,K00451,ASV000646,0.01,0.025445292620865378,1,0.01,0.025445292620865378
64,Day01LowCrysWater3,K00451,ASV000664,0.01,0.025445292620865378,1,0.01,0.025445292620865378
65,Day01LowCrysWater3,K00451,ASV000781,0.01,0.025445292620865378,1,0.01,0.025445292620865378
66,Day01LowCrysWater3,K00451,ASV000804,0.01,0.025445292620865378,1,0.01,0.025445292620865378
67,Day01LowCrysWater3,K00451,ASV000896,0.01,0.025445292620865378,1,0.01,0.025445292620865378
68,Day01LowCrysWater3,K00451,ASV001035,0.01,0.025445292620865378,1,0.01,0.025445292620865378
69,Day01LowCrysWater3,K00451,ASV001036,0.01,0.025445292620865378,1,0.01,0.025445292620865378
70,Day01LowCrysWater3,K00451,ASV001052,0.03,0.07633587786259613,1,0.03,0.07633587786259613
71,Day01LowCrysWater3,K00451,ASV001077,0.01,0.025445292620865378,1,0.01,0.025445292620865378
72,Day01LowCrysWater3,K00451,ASV001162,0.01,0.025445292620865378,1,0.01,0.025445292620865378
73,Day01LowCrysWater3,K00451,ASV001229,0.01,0.025445292620865378,2,0.02,0.050890585241730756
74,Day01LowCrysWater3,K00451,ASV001356,0.01,0.025445292620865378,1,0.01,0.025445292620865378
75,Day01LowCrysWater3,K00451,ASV001521,0.01,0.025445292620865378,1,0.01,0.025445292620865378
76,Day01LowCrysWater3,K00451,ASV001573,0.01,0.025445292620865378,1,0.01,0.025445292620865378
77,Day01LowCrysWater3,K00451,ASV001635,0.01,0.025445292620865378,1,0.01,0.025445292620865378
78,Day01LowCrysWater3,K00451,ASV001751,0.01,0.025445292620865378,1,0.01,0.025445292620865378
79,Day01LowCrysWater3,K00451,ASV001806,0.01,0.025445292620865378,1,0.01,0.025445292620865378
80,Day01LowCrysWater3,K00451,ASV001809,0.01,0.025445292620865378,1,0.01,0.025445292620865378
81,Day01LowCrysWater3,K00451,ASV001954,0.01,0.025445292620865378,1,0.01,0.025445292620865378
