sample	weighted_NSTI
Day01BHET1	0.08477946
Day01BHET2	0.077789717
Day01BHET3	0.080582747
Day01ExtractionControl	0.055733502
Day01LowCrys1	0.057671821
Day01LowCrys2	0.044698171
Day01LowCrys3	0.041665853
Day01LowCrysWater1	0.042101641
Day01LowCrysWater2	0.051985421
Day01LowCrysWater3	0.032553456
Day01NoC1	0.050876249
Day01NoC2	0.044100514
Day01NoC3	0.055626211
Day01PET1	0.064527272
Day01PET2	0.059985558
Day01PET3	0.048608615
Day01WeatherPET1	0.062275609
Day01WeatherPET2	0.072572228
Day01WeatherPET3	0.070047082
Day03BHET1	0.08044629
Day03BHET2	0.077053803
Day03BHET3	0.081859723
Day03ExtractionControl	0.050693157
Day03LowCrys1	0.051595747
Day03LowCrys2	0.047314909
Day03LowCrys3	0.043070234
Day03LowCrysWater1	0.051643931
Day03LowCrysWater2	0.0526393
Day03LowCrysWater3	0.052924861
Day03NoC1	0.048222605
Day03NoC2	0.047148721
Day03NoC3	0.049941993
Day03PET1	0.070121427
Day03PET2	0.063825693
Day03PET3	0.068413246
Day03WeatherPET1	0.070364249
Day03WeatherPET2	0.07490274
Day03WeatherPET3	0.077889499
Day07BHET1	0.071481264
Day07BHET2	0.081493031
Day07BHET3	0.07677833
Day07ExtractionControl	0.057014699
Day07LowCrys1	0.040792329
Day07LowCrys2	0.04597772
Day07LowCrys3	0.044908722
Day07LowCrysWater1	0.04601975
Day07LowCrysWater2	0.059617112
Day07LowCrysWater3	0.051015
Day07NoC1	0.063032519
Day07NoC2	0.046243863
Day07NoC3	0.057155773
Day07PET1	0.077798097
Day07PET2	0.054375803
Day07PET3	0.050028572
Day07WeatherPET1	0.056790616
Day07WeatherPET2	0.056367893
Day07WeatherPET3	0.050522496
Day14BHET1	0.077897993
Day14BHET2	0.079512543
Day14BHET3	0.074164386
Day14ExtractionControl	0.0623324
Day14LowCrys1	0.03843491
Day14LowCrys2	0.04486165
Day14LowCrys3	0.040279172
Day14LowCrysWater1	0.047669944
Day14LowCrysWater2	0.052236272
Day14LowCrysWater3	0.0526036
Day14NoC1	0.055005777
Day14NoC2	0.045213497
Day14NoC3	0.05398678
Day14PET1	0.066419502
Day14PET2	0.045671332
Day14PET3	0.045638914
Day14WeatherPET1	0.041868707
Day14WeatherPET2	0.053183342
Day14WeatherPET3	0.05659222
Day21BHET1	0.068978289
Day21BHET2	0.075683526
Day21BHET3	0.075507928
Day21ExtractionControl	0.055998619
Day21LowCrys1	0.033023925
Day21LowCrys2	0.037314247
Day21LowCrys3	0.036916821
Day21LowCrysWater1	0.041405814
Day21LowCrysWater2	0.042350968
Day21LowCrysWater3	0.037405269
Day21NoC1	0.048188904
Day21NoC2	0.049458701
Day21NoC3	0.052983241
Day21PET1	0.054785048
Day21PET2	0.045103082
Day21PET3	0.052741655
Day21WeatherPET1	0.05189409
Day21WeatherPET2	0.047353401
Day21WeatherPET3	0.05324095
Day30BHET1	0.066346464
Day30BHET2	0.071748978
Day30BHET3	0.061741426
Day30ExtractionControl	0.054696996
Day30LowCrys1	0.034556752
Day30LowCrys2	0.035297802
Day30LowCrys3	0.037167865
Day30LowCrysWater1	0.03970233
Day30LowCrysWater2	0.052799669
Day30LowCrysWater3	0.041771101
Day30NoC1	0.046700388
Day30NoC2	0.046334271
Day30NoC3	0.047922294
Day30PET1	0.057236793
Day30PET2	0.039422861
Day30PET3	0.036636205
Day30WeatherPET1	0.050145403
Day30WeatherPET2	0.049671423
Day30WeatherPET3	0.043305975
Day42BHET1	0.068125718
Day42BHET2	0.066876529
Day42BHET3	0.070440029
Day42ExtractionControl	0.056845913
Day42LowCrys1	0.035194005
Day42LowCrys3	0.043583329
Day42LowCrysWater1	0.047073234
Day42LowCrysWater2	0.05039454
Day42LowCrysWater3	0.051471426
Day42NoC1	0.057098404
Day42NoC2	0.05028207
Day42NoC3	0.060848818
Day42PET2	0.042527021
Day42PET3	0.03890927
Day42WeatherPET1	0.045940222
Day42WeatherPET2	0.043748798
Day42WeatherPET3	0.049622367
Inoc2	0.098031733
Inoc3	0.105446568
Inoc4	0.102196654
MiSeqControl1	0.031344302
MiSeqControl2	0.039258132
MiSeqControl3	0.102370743
