ASV000005,ASV5: $Sediminibacterium$ $salmoneum$
ASV000009,ASV9: $Thiobacimonas$ $profunda$
ASV000010,ASV10: $Thalassospira$ $lucentensis$
ASV000014,ASV14: $Thalassospira$
ASV000016,ASV16: $Thalassospira$
ASV000018,ASV18: $Halomonas$
ASV000020,ASV20: $Pseudomonas$
ASV000022,ASV22: $Thalassospira$
ASV000028,ASV28: $Roseivirga$
ASV000032,ASV32: $Reyranella$
ASV000033,ASV33: $Paucibacter$
ASV000034,ASV34: $Oricola$ $cellulosilytica$
ASV000042,ASV42: $Tistlia$
ASV000043,ASV43: $Azomonas$
ASV000045,ASV45: $Rhizobiaceae$
ASV000046,ASV46: $Maritimibacter$
ASV000049,ASV49: $Halomonadaceae$
ASV000054,ASV54: $Oricola$
ASV000071,ASV71: $Hyphomonas$
ASV000098,ASV98: $Gammaproteobacteria$
ASV000108,ASV108: $Acinetobacter$
ASV000174,ASV174: $Marinomonas$
ASV000272,ASV272: $Pseudomonas$
ASV000434,ASV434: $Brevibacterium$
ASV000462,ASV462: $Brevibacterium$
ASV000569,ASV569: $Acidiphilium$
ASV001307,ASV1307: $Sphingomonadaceae$
ASV000024,ASV24: $Beijerinckiaceae$
ASV000027,ASV27: $Rhizobiales_Incertae_Sedis$
ASV000030,ASV30: $Pedomicrobium$
ASV000037,ASV37: $Leptothrix$
ASV000041,ASV41: $Asinibacterium$
ASV000044,ASV44: $Aquabacterium$
ASV000047,ASV47: $Afipia$
ASV000050,ASV50: $Xanthobacteraceae$
ASV000051,ASV51: $Hyphomicrobium$ $facile$
ASV000057,ASV57: $Chitinophagaceae$
ASV000058,ASV58: $Caulobacteraceae$
ASV000059,ASV59: $Piscinibacter$
ASV000060,ASV60: $Nevskia$
ASV000061,ASV61: $Ferruginibacter$
ASV000062,ASV62: $Halomonas$
ASV000067,ASV67: $Bradyrhizobium$
ASV000069,ASV69: $Alphaproteobacteria$
ASV000074,ASV74: $Micropepsaceae$
ASV000079,ASV79: $Sediminibacterium$
ASV000080,ASV80: $Labrenzia$ $aggregata$
ASV000082,ASV82: $Pelomonas$
ASV000083,ASV83: $Methylobacterium$
ASV000087,ASV87: $Stappia$
ASV000088,ASV88: $Vibrio$
ASV000093,ASV93: $Burkholderiaceae$
ASV000095,ASV95: $Rhizobiaceae$
ASV000101,ASV101: $Fimbriimonadaceae$
ASV000102,ASV102: $Vibrio$
ASV000103,ASV103: $Maritimibacter$
ASV000105,ASV105: $Marinobacter$
ASV000106,ASV106: $Pseudooceanicola$
ASV000115,ASV115: $Gemmata$
ASV000117,ASV117: $Nitratireductor$
ASV000120,ASV120: $Catenococcus$
ASV000121,ASV121: $Novosphingobium$
ASV000122,ASV122: $Halomonas$
ASV000123,ASV123: $Thalassospira$
ASV000125,ASV125: $Pelagibacterium$ $halotolerans$
ASV000126,ASV126: $Azomonas$
ASV000129,ASV129: $Isosphaeraceae$
ASV000130,ASV130: $Thalassospira$
ASV000133,ASV133: $Reyranella$
ASV000136,ASV136: $Hyphomonas$
ASV000137,ASV137: $Polymorphum$
ASV000139,ASV139: $Catenococcus$
ASV000145,ASV145: $Tenacibaculum$ $litoreum$
ASV000147,ASV147: $Halomonadaceae$
ASV000150,ASV150: $Rhodobacteraceae$
ASV000151,ASV151: $Ochrobactrum$
ASV000160,ASV160: $Stappia$
ASV000161,ASV161: $Oricola$
ASV000166,ASV166: $Oricola$
ASV000168,ASV168: $Nitratireductor$
ASV000169,ASV169: $Dinghuibacter$
ASV000170,ASV170: $Bradyrhizobium$
ASV000172,ASV172: $Thalassospira$
ASV000175,ASV175: $Hyphomonas$
ASV000177,ASV177: $Pelagibacterium$
ASV000180,ASV180: $Chitinophagaceae$
ASV000183,ASV183: $Marinomonas$
ASV000184,ASV184: $Enhydrobacter$ $aerosaccus$
ASV000186,ASV186: $Pseudonocardia$ $endophytica$
ASV000187,ASV187: $Alcanivorax$
ASV000188,ASV188: $Mycobacterium$
ASV000190,ASV190: $Pseudomonas$
ASV000192,ASV192: $Mycobacterium$
ASV000193,ASV193: $Halomonas$
