,Day00Inoc,Day01NoC,Day03NoC,Day07NoC,Day14NoC,Day21NoC,Day30NoC,Day42NoC,Day01LowCrysWater,Day03LowCrysWater,Day07LowCrysWater,Day14LowCrysWater,Day21LowCrysWater,Day30LowCrysWater,Day42LowCrysWater,Day01LowCrys,Day03LowCrys,Day07LowCrys,Day14LowCrys,Day21LowCrys,Day30LowCrys,Day42LowCrys,Day01PET,Day03PET,Day07PET,Day14PET,Day21PET,Day30PET,Day42PET,Day01WeatherPET,Day03WeatherPET,Day07WeatherPET,Day14WeatherPET,Day21WeatherPET,Day30WeatherPET,Day42WeatherPET,Day01BHET,Day03BHET,Day07BHET,Day14BHET,Day21BHET,Day30BHET,Day42BHET
ASV000005,0.0,0.03,0.01,0.0,0.03,0.02,0.01,0.01,0.02666666666666667,0.01,0.0,0.04,0.01,0.01,0.0,1.01,0.8166666666666668,0.51,0.7400000000000001,1.3033333333333335,0.5233333333333333,0.9199999999999999,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.02,0.0,0.013333333333333334,0.0,0.02,0.01,0.01
ASV000008,0.3933333333333333,0.4166666666666667,0.81,1.0033333333333332,1.1566666666666665,1.2066666666666668,1.0999999999999999,0.85,0.48,0.9,1.0966666666666667,1.9233333333333331,1.5966666666666667,1.8266666666666664,1.9466666666666665,1.4433333333333334,3.1466666666666665,4.503333333333334,11.38,5.06,5.466666666666666,15.065,0.5166666666666667,1.5733333333333333,2.1166666666666667,2.7733333333333334,3.3366666666666664,4.05,10.57,0.7333333333333333,1.08,1.9066666666666665,1.9166666666666667,1.8933333333333333,2.456666666666667,1.843333333333333,3.2133333333333334,1.9266666666666665,2.4966666666666666,1.1233333333333333,1.0666666666666667,0.8133333333333334,0.8333333333333334
ASV000009,1.9600000000000002,9.466666666666667,4.853333333333333,5.466666666666666,4.3,2.013333333333333,1.9066666666666665,1.6266666666666667,8.88,3.5933333333333333,4.973333333333334,8.926666666666666,8.773333333333332,6.8066666666666675,6.72,3.28,5.426666666666666,4.446666666666666,3.6733333333333333,6.406666666666666,4.433333333333334,5.55,7.326666666666665,3.5933333333333333,3.1133333333333333,1.5599999999999998,2.0,0.7133333333333334,0.7,6.760000000000001,2.52,2.7866666666666666,1.3666666666666665,1.5466666666666669,1.1133333333333333,0.9733333333333333,3.7933333333333334,6.153333333333333,5.3133333333333335,3.8600000000000008,4.113333333333333,3.106666666666667,3.3666666666666667
ASV000010,0.035,2.813333333333333,3.223333333333333,3.4800000000000004,2.4066666666666667,1.3533333333333333,0.9100000000000001,1.04,2.4499999999999997,3.436666666666667,3.1366666666666667,3.6166666666666667,3.0,1.7633333333333334,1.3466666666666667,1.2566666666666666,3.1799999999999997,1.5066666666666668,1.0833333333333333,2.0766666666666667,7.826666666666665,1.69,1.1066666666666667,2.69,5.5200000000000005,3.0866666666666664,2.69,1.9133333333333333,1.04,1.9133333333333333,3.1,2.7099999999999995,1.9633333333333336,1.8933333333333333,1.58,1.2433333333333334,0.02333333333333333,0.05333333333333334,0.08,0.03333333333333333,0.06,0.06333333333333334,0.02
ASV000014,0.24,0.13333333333333333,0.12333333333333334,0.09000000000000001,0.07333333333333332,0.03666666666666667,0.02666666666666667,0.02,0.13,0.15,0.13,0.07333333333333333,0.07666666666666666,0.05666666666666667,0.02,0.10333333333333333,0.19999999999999998,0.11666666666666668,0.10333333333333335,0.19666666666666666,0.25,0.06,0.33,0.31,0.34,0.10666666666666667,0.13333333333333333,0.11,0.015,0.30000000000000004,0.23,0.24,0.10999999999999999,0.07666666666666666,0.04,0.05666666666666667,0.48333333333333334,8.676666666666668,8.616666666666667,5.953333333333333,4.816666666666666,4.260000000000001,2.9899999999999998
ASV000016,0.023333333333333334,2.063333333333333,1.9399999999999997,1.9900000000000002,1.4166666666666667,0.7399999999999999,0.5033333333333333,0.6699999999999999,1.37,1.8866666666666667,1.83,1.9366666666666668,1.7166666666666668,1.22,0.9,0.22333333333333336,0.5966666666666667,0.44333333333333336,0.19000000000000003,0.24,1.1566666666666665,0.34500000000000003,0.6133333333333334,2.0,3.2466666666666666,1.9033333333333333,1.4166666666666667,0.8566666666666668,0.385,1.29,2.4466666666666668,1.49,1.3033333333333332,1.0666666666666667,0.91,0.8933333333333334,0.04,0.07333333333333333,0.08666666666666667,0.04,0.07333333333333333,0.04666666666666667,0.03333333333333333
ASV000022,0.12333333333333334,0.10666666666666667,0.09000000000000001,0.15,0.049999999999999996,0.03,0.02,0.025,0.10666666666666667,0.13333333333333333,0.14333333333333334,0.08666666666666667,0.06,0.045,0.016666666666666666,0.023333333333333334,0.056666666666666664,0.03666666666666667,0.035,0.02666666666666667,0.05333333333333334,0.01,0.23666666666666666,0.2866666666666667,0.36000000000000004,0.14,0.09666666666666668,0.04666666666666666,0.02,0.2733333333333334,0.35333333333333333,0.16,0.13333333333333333,0.09000000000000001,0.03333333333333333,0.043333333333333335,0.48333333333333334,6.073333333333333,4.69,4.1066666666666665,3.323333333333333,2.69,2.453333333333333
ASV000025,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.02,0.6366666666666667,0.36000000000000004,0.29333333333333333,0.38000000000000006,0.71,0.3233333333333333,0.53,0.0,0.04,0.01,0.0,0.01,0.0,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.01,0.015,0.01,0.01,0.01,0.0,0.01,0.01
ASV000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2133333333333334,0.18666666666666668,0.08666666666666667,0.03333333333333333,0.08,0.056666666666666664,0.04666666666666667
ASV000028,0.0,0.0,0.01,0.6733333333333333,1.3466666666666667,1.2766666666666666,0.6833333333333335,0.33666666666666667,0.0,0.01,0.6733333333333333,1.36,1.49,0.3566666666666667,0.10333333333333333,0.0,0.015,0.6466666666666666,0.8866666666666667,1.9766666666666666,2.84,0.365,0.0,0.0,0.7133333333333333,1.0933333333333335,0.7233333333333333,0.3333333333333333,0.22999999999999998,0.0,0.0,0.37666666666666665,0.6866666666666666,0.5566666666666666,0.3,0.19333333333333333,0.0,0.0,0.24666666666666667,0.30333333333333334,0.5166666666666666,0.5233333333333333,0.3866666666666667
