,Day00Inoc,Day01NoC,Day03NoC,Day07NoC,Day14NoC,Day21NoC,Day30NoC,Day42NoC,Day01LowCrysWater,Day03LowCrysWater,Day07LowCrysWater,Day14LowCrysWater,Day21LowCrysWater,Day30LowCrysWater,Day42LowCrysWater,Day01LowCrys,Day03LowCrys,Day07LowCrys,Day14LowCrys,Day21LowCrys,Day30LowCrys,Day42LowCrys,Day01PET,Day03PET,Day07PET,Day14PET,Day21PET,Day30PET,Day42PET,Day01WeatherPET,Day03WeatherPET,Day07WeatherPET,Day14WeatherPET,Day21WeatherPET,Day30WeatherPET,Day42WeatherPET,Day01BHET,Day03BHET,Day07BHET,Day14BHET,Day21BHET,Day30BHET,Day42BHET
ASV9: $Thiobacimonas$ $profunda$,0.9800000000000001,4.733333333333333,2.4266666666666663,2.733333333333333,2.15,1.0066666666666666,0.9533333333333333,0.8133333333333334,4.44,1.7966666666666666,2.486666666666667,4.463333333333333,4.386666666666666,3.4033333333333338,3.36,1.64,2.713333333333333,2.223333333333333,1.8366666666666667,3.203333333333333,2.216666666666667,2.775,3.6633333333333327,1.7966666666666666,1.5566666666666666,0.7799999999999999,1.0,0.3566666666666667,0.35,3.3800000000000003,1.26,1.3933333333333333,0.6833333333333332,0.7733333333333334,0.5566666666666666,0.48666666666666664,1.8966666666666667,3.0766666666666667,2.6566666666666667,1.9300000000000004,2.0566666666666666,1.5533333333333335,1.6833333333333333
ASV32: $Reyranella$,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.3466666666666667,0.32666666666666666,0.22333333333333336,0.24,0.25,0.16333333333333333,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.01,0.01,0.0,0.01
ASV59: $Piscinibacter$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.015,0.0,0.0,0.0,0.01,0.0,0.21333333333333335,0.09666666666666668,0.11666666666666665,0.12666666666666668,0.11666666666666665,0.07333333333333335,0.12000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
ASV314: $Reyranella$,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.06333333333333334,0.07333333333333332,0.02666666666666667,0.03,0.02,0.016666666666666666,0.025,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.02
ASV744: $Reyranella$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.02,0.02,0.015,0.01,0.015,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0
ASV826: $Thiobacimonas$,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.015,0.015,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.043333333333333335
ASV927: $Reyranella$,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.013333333333333334,0.015,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
ASV1112: $Thiobacimonas$,0.01,0.0,0.0,0.01,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0
ASV1274: $Thiobacimonas$,0.0,0.03,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.01,0.0
ASV1775: $Thiobacimonas$,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01
ASV1929: $Thiobacimonas$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
