,Day00Inoc,Day01NoC,Day03NoC,Day07NoC,Day14NoC,Day21NoC,Day30NoC,Day42NoC,Day01LowCrysWater,Day03LowCrysWater,Day07LowCrysWater,Day14LowCrysWater,Day21LowCrysWater,Day30LowCrysWater,Day42LowCrysWater,Day01LowCrys,Day03LowCrys,Day07LowCrys,Day14LowCrys,Day21LowCrys,Day30LowCrys,Day42LowCrys,Day01PET,Day03PET,Day07PET,Day14PET,Day21PET,Day30PET,Day42PET,Day01WeatherPET,Day03WeatherPET,Day07WeatherPET,Day14WeatherPET,Day21WeatherPET,Day30WeatherPET,Day42WeatherPET,Day01BHET,Day03BHET,Day07BHET,Day14BHET,Day21BHET,Day30BHET,Day42BHET
ASV5: $Sediminibacterium$ $salmoneum$,0.0,0.03,0.01,0.0,0.03,0.02,0.01,0.01,0.02666666666666667,0.01,0.0,0.04,0.01,0.01,0.0,1.01,0.8166666666666668,0.51,0.7400000000000001,1.3033333333333335,0.5233333333333333,0.9199999999999999,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.02,0.0,0.013333333333333334,0.0,0.02,0.01,0.01
ASV24: $Beijerinckiaceae$,0.0,0.03,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.7533333333333334,0.36999999999999994,0.22,0.22666666666666666,0.41,0.21,0.29000000000000004,0.01,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.016666666666666666,0.0,0.01
ASV30: $Pedomicrobium$,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.03,0.01,0.01,0.0,0.0,0.0,0.015,0.36000000000000004,0.36999999999999994,0.3,0.30666666666666664,0.73,0.18333333333333335,0.32,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.01,0.0
ASV32: $Reyranella$,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,2.4266666666666667,2.2866666666666666,1.5633333333333335,1.68,1.75,1.1433333333333333,1.5750000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.10500000000000001,0.0,0.0,0.07,0.07,0.0,0.07
ASV33: $Paucibacter$,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.5333333333333333,0.25,0.15,0.19333333333333336,0.3466666666666667,0.20333333333333337,0.295,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.02,0.0,0.01
ASV37: $Leptothrix$,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.2933333333333334,0.16,0.1366666666666667,0.16,0.21666666666666667,0.17666666666666667,0.22,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.01
ASV41: $Asinibacterium$,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.1366666666666667,0.08666666666666667,0.06,0.08666666666666667,0.14333333333333334,0.05666666666666667,0.105,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
ASV51: $Hyphomicrobium$ $facile$,0.0,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.58,0.2733333333333333,0.20000000000000004,0.24,0.39333333333333337,0.18000000000000002,0.24,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
ASV57: $Chitinophagaceae$,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.0,0.01,0.0,0.0,0.01,0.1366666666666667,0.09333333333333332,0.07,0.043333333333333335,0.12,0.07333333333333333,0.08,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
ASV61: $Ferruginibacter$,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21999999999999997,0.13999999999999999,0.09999999999999999,0.13999999999999999,0.2733333333333334,0.11333333333333333,0.16999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0
