Sample Name	Protocol REF	Parameter Value[instrument]	Parameter Value[manufacturer]	Protocol REF	Assay Name	Raw Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]	Protocol REF	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]	Factor Value[project]
S0001	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788236	SRX2974496	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187206	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0002	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788235	SRX2974497	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187207	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0003	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788238	SRX2974494	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187208	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0004	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788237	SRX2974495	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187209	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0005	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788232	SRX2974500	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187210	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0006	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788231	SRX2974501	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187211	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0008	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788234	SRX2974498	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187212	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0009	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788233	SRX2974499	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187213	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0010	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788230	SRX2974502	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187214	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0011	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788229	SRX2974503	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187215	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0012	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788436	SRX2974776	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187216	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
