,90% identity,95% identity,97% identity
TARA_145_MES,5904,963,350
TARA_098_DCM,5260,904,237
TARA_146_SRF,5838,693,170
TARA_148_SRF,5883,721,192
TARA_099_SRF,5302,451,206
TARA_052_SRF,5165,576,289
TARA_041_SRF,5672,686,226
TARA_082_SRF,9246,1465,490
TARA_138_MES,6160,653,114
TARA_110_DCM,6409,1038,531
TARA_056_SRF,6256,783,267
TARA_004_SRF,5942,649,258
TARA_068_DCM,4133,833,193
TARA_066_DCM,2299,433,187
TARA_109_MES,5310,687,88
TARA_072_SRF,5597,804,188
TARA_064_MES,4620,812,319
TARA_067_SRF,5916,1266,456
TARA_112_MES,6124,1127,380
TARA_111_SRF,6479,1011,539
TARA_123_SRF,5944,827,427
TARA_065_DCM,8129,1404,461
TARA_056_MES,7412,1161,366
TARA_138_SRF,5534,652,294
TARA_112_SRF,5740,646,249
TARA_111_MES,5240,467,79
TARA_064_SRF,5273,744,276
TARA_122_DCM,6100,702,130
TARA_072_MES,5752,732,187
TARA_137_DCM,5242,363,40
TARA_109_SRF,6697,1149,727
TARA_150_SRF,6563,818,326
TARA_145_SRF,5317,786,246
TARA_146_MES,6142,1169,447
TARA_033_SRF,4860,779,317
TARA_123_MIX,6909,759,170
TARA_151_DCM,5824,802,329
TARA_039_MES,5334,550,154
TARA_094_SRF,5996,890,517
TARA_102_MES,4170,731,271
TARA_018_DCM,5749,557,213
TARA_062_SRF,4135,603,194
TARA_100_DCM,5532,701,271
TARA_078_DCM,5813,783,296
TARA_133_MES,5999,727,181
TARA_009_SRF,8298,1145,486
TARA_076_DCM,6489,1240,334
TARA_125_SRF,5386,670,348
TARA_042_DCM,3527,688,223
TARA_007_DCM,5037,655,244
TARA_142_DCM,5466,682,190
TARA_125_MIX,4862,701,196
TARA_093_DCM,14520,1952,794
TARA_084_SRF,13473,2868,1214
TARA_038_SRF,5197,951,255
TARA_085_DCM,7472,481,157
TARA_140_SRF,6462,969,347
TARA_023_DCM,3518,437,184
TARA_030_DCM,5523,569,250
TARA_038_MES,3919,535,179
TARA_102_SRF,5094,688,443
TARA_034_SRF,4454,798,289
TARA_132_DCM,5502,590,151
TARA_036_DCM,5909,958,388
TARA_025_DCM,5590,591,212
TARA_128_SRF,6660,957,456
TARA_133_SRF,7139,1143,578
TARA_032_SRF,4649,412,119
TARA_141_SRF,6128,868,396
TARA_142_MES,7274,1043,314
TARA_004_DCM,6576,886,393
TARA_085_SRF,7760,637,245
TARA_041_DCM,4441,711,227
TARA_132_SRF,5077,452,161
TARA_102_DCM,5911,803,424
TARA_052_DCM,5059,580,268
TARA_045_SRF,5407,651,243
TARA_100_MES,5407,584,135
TARA_078_MES,5590,842,291
TARA_076_MES,7376,1212,358
TARA_133_DCM,6385,914,403
TARA_128_DCM,5046,685,345
TARA_124_SRF,6410,939,470
TARA_031_SRF,4908,612,242
TARA_132_MES,6095,719,117
TARA_078_SRF,5253,558,261
TARA_076_SRF,5559,531,231
TARA_148b_MES,5434,807,341
TARA_100_SRF,6283,1121,735
TARA_039_DCM,4884,741,394
TARA_142_SRF,5916,967,353
TARA_037_MES,5533,437,51
TARA_124_MIX,7533,1145,395
TARA_085_MES,6023,521,70
TARA_093_SRF,7630,895,280
TARA_070_SRF,3804,841,199
TARA_138_DCM,3822,646,165
TARA_110_MES,5769,723,266
TARA_068_MES,5419,432,70
TARA_065_SRF,3573,619,206
TARA_109_DCM,5503,847,481
TARA_048_SRF,6228,825,349
TARA_007_SRF,4757,527,227
TARA_137_SRF,6405,922,477
TARA_122_SRF,5267,560,275
TARA_064_DCM,5185,644,239
TARA_112_DCM,5165,546,177
TARA_009_DCM,5055,534,243
TARA_098_MES,4521,396,68
TARA_150_DCM,5364,629,226
TARA_042_SRF,5146,587,213
TARA_149_MES,5930,1048,323
TARA_151_SRF,5739,692,339
TARA_018_SRF,5781,546,208
TARA_152_MES,5714,960,250
TARA_025_SRF,8824,1309,484
TARA_036_SRF,5422,1003,444
TARA_098_SRF,4780,417,202
TARA_032_DCM,7022,839,181
TARA_096_SRF,6871,653,285
TARA_030_SRF,4828,412,115
TARA_152_SRF,5607,723,346
TARA_082_DCM,14274,3026,1112
TARA_023_SRF,4258,363,103
TARA_149_SRF,6523,961,314
TARA_034_DCM,3435,442,125
TARA_068_SRF,5853,1335,181
TARA_066_SRF,4533,864,350
TARA_065_MES,6312,980,250
TARA_152_MIX,6431,893,416
TARA_058_DCM,4858,521,180
TARA_110_SRF,6720,1112,636
TARA_070_MES,7772,987,217
TARA_111_DCM,5256,547,237
TARA_057_SRF,5945,806,283
TARA_038_DCM,5435,702,206
TARA_122_MES,6139,925,294
TARA_137_MES,6715,757,146
TARA_072_DCM,3493,565,178
