,Coverage
Bacillus_assembled_TARA_ASW_RAW,0.021
Bacillus_assembled_TARA_RED_RAW,0.028999999999999998
Thioclava_assembled_TARA_IOS_RAW,0.059000000000000004
Bacillus_assembled_TARA_MED_RAW,0.027999999999999997
Bacillus_assembled_TARA_SOC_RAW,0.015
Bacillus_assembled_TARA_ASE_RAW,0.02
Thioclava_assembled_TARA_ASE_RAW,0.083
Bacillus_assembled_TARA_IOS_RAW,0.031
Thioclava_assembled_TARA_SOC_RAW,0.057999999999999996
Thioclava_assembled_TARA_MED_RAW,0.066
Thioclava_assembled_TARA_ASW_RAW,0.063
Thioclava_assembled_TARA_RED_RAW,0.042
Thioclava_assembled_TARA_PSE_RAW,0.16399999999999998
Bacillus_assembled_TARA_ION_RAW,0.015
Bacillus_assembled_TARA_PON_RAW,0.025
Bacillus_assembled_TARA_ANW_RAW,0.027999999999999997
Bacillus_assembled_TARA_ANE_RAW,0.019
Thioclava_assembled_TARA_PSW_RAW,0.105
Bacillus_assembled_TARA_PSW_RAW,0.027000000000000003
Thioclava_assembled_TARA_ANE_RAW,0.054000000000000006
Thioclava_assembled_TARA_ANW_RAW,0.155
Thioclava_assembled_TARA_PON_RAW,0.063
Bacillus_assembled_TARA_PSE_RAW,0.027999999999999997
Thioclava_assembled_TARA_ION_RAW,0.057
