Group,Day00Inoc,Day01NoC,Day03NoC,Day07NoC,Day14NoC,Day21NoC,Day30NoC,Day42NoC,Day01BHET,Day03BHET,Day07BHET,Day14BHET,Day21BHET,Day30BHET,Day42BHET,Day01LowCrys,Day03LowCrys,Day07LowCrys,Day14LowCrys,Day21LowCrys,Day30LowCrys,Day42LowCrys,Day01LowCrysWater,Day03LowCrysWater,Day07LowCrysWater,Day14LowCrysWater,Day21LowCrysWater,Day30LowCrysWater,Day42LowCrysWater,Day01PET,Day03PET,Day07PET,Day14PET,Day21PET,Day30PET,Day42PET,Day01WeatherPET,Day03WeatherPET,Day07WeatherPET,Day14WeatherPET,Day21WeatherPET,Day30WeatherPET,Day42WeatherPET
ASV000001,22.78777467,34.60271265,35.09703927,34.6355051,31.41184109,30.73477425,31.00173915,37.2983292,43.6504045,35.23190796,40.69154699,42.62901197,38.52596452,38.94253558,39.56915799,25.95676772,26.36043376,26.20608236,19.71032085,22.54337647,28.85128458,27.19890138,30.63840415,35.10742246,34.81331986,35.66902296,39.40643195,38.59021172,42.17788595,39.02360785,39.97246303,36.66921247,34.966402,34.34506589,35.90386019,29.76539573,41.87770476,44.04251378,36.89988968,38.5139166,34.07188156,36.37264481,37.86014384
ASV000002,5.763699962,2.722584286,5.217979267,2.058187799,1.370426603,1.849874594,1.434091965,0.50823344,0.390012729,0.097908999,0.157600384,0.090085681,0.218780192,0.224607466,0.220918163,19.92026894,16.86139071,23.26627105,18.00031494,16.02041665,4.189382713,1.970864849,24.27939043,25.04715664,23.6002948,10.1915458,2.828614744,1.045232278,0.643112438,13.19728809,10.61846695,4.460859399,3.717753003,3.498382903,3.247279748,2.838160093,13.56332149,9.977445919,6.719662459,3.838671146,3.947180018,2.84381363,1.626601928
ASV000003,0.028768938,17.27764931,13.29598118,13.2575705,12.36594349,11.93258108,13.91807108,8.30826449,0.005328761,0.001822589,0.001958825,0.001759944,0.007015328,0.003598061,0.009655955,2.228438392,4.463514648,3.938164154,2.576220457,5.507526641,10.21996655,8.327321998,11.92081359,4.709174316,5.765990735,9.939950599,13.40459668,16.9661949,11.22442186,7.394779274,4.218785314,4.073584857,7.796222034,8.455988348,6.199380919,7.593062199,3.209419984,1.74174905,1.975734864,2.973521969,4.42236676,3.282451716,2.652055453
ASV000004,5.478658166,4.468276758,4.429328896,4.336969565,3.796822776,3.946958728,4.451291492,4.918649336,5.85776229,10.55484705,8.197339168,7.196572941,7.086155637,7.746494382,7.268835474,5.214960343,3.992149424,4.365487762,2.489697047,2.433226952,3.137756965,2.782928932,4.770387618,4.874855203,4.427892212,4.016441259,4.058966239,4.480371654,4.620432288,6.533576097,6.549974577,5.392684086,4.618478921,4.880222888,5.315737631,4.467843903,7.475550728,7.465478918,6.23608998,5.739016309,5.496064844,5.56328909,6.550096078
ASV000005,0,0.008534608,0.004017115,0,0.009395494,0.014501525,0.001992429,0.004049239,0.006225642,0,0.012125028,0,0.007015328,0.005656437,0.006132148,1.009367791,0.816718072,0.513230413,0.74180492,1.303333066,0.525611575,0.919627355,0.022664813,0.002673225,0.001265935,0.014361626,0.008199286,0.002801591,0,0.00166135,0,0.001729446,0,0.004601883,0,0,0,0.003613845,0.006454539,0.004103911,0.001717151,0,0
ASV000006,0.467838894,3.011177059,3.106223782,2.602898585,4.191987828,4.287202088,5.898933682,5.004790349,0.004956781,0.004311895,0.003011679,0.004550745,0.005218558,0,0.002736278,7.437316747,6.14055621,3.957268354,2.176484138,2.393870506,3.979922767,2.320426041,2.21499117,2.191192634,1.754737723,2.62187588,3.877409096,4.362841332,4.503040272,6.722253317,5.760300511,2.878687856,4.09983672,4.12492265,3.308674986,4.632912552,4.088820951,3.590619148,2.479673258,3.40662972,2.87465768,3.038091202,3.490515229
ASV000007,0,0.008371003,0.004985915,0.548759139,3.151209312,5.407149543,5.438364223,5.522896425,0.001361211,0.001082005,0.442329756,7.539928869,6.572178378,5.442986584,5.455356092,0,0,0.212610913,1.234846243,0.576144398,0.31175275,0.206232169,0.004364075,0,0.043799346,1.07198124,1.371438855,1.257508729,0.977979589,0,0.00435483,8.013382194,9.86467903,8.973075133,7.633728602,8.043967211,0,0.006268604,11.87609574,9.017115067,11.98328181,8.650612309,7.353863951
ASV000008,0.392715425,0.418215562,0.808314016,1.00400472,1.158035779,1.206225033,1.100417332,0.848781887,3.212067077,1.927240222,2.493665061,1.124254052,1.069193657,0.812025255,0.835012097,1.444855194,3.1449116,4.506569491,11.38043307,5.0609899,5.46757086,15.06391803,0.479372583,0.901034714,1.098612746,1.92052075,1.596500985,1.828151829,1.945987905,0.517821222,1.576490854,2.12005017,2.773177023,3.338502953,4.046762338,10.57069711,0.736433987,1.075953664,1.905949085,1.917575524,1.8958253,2.457910273,1.845554102
ASV000009,0.980278669,4.733900275,2.428398285,2.733269252,2.149521225,1.007228988,0.954182542,0.813894296,1.899198343,3.076924034,2.65855196,1.929256594,2.057194825,1.551779924,1.681845769,1.638177891,2.711846112,2.223067372,1.837132121,3.205600533,2.21655181,2.777638474,4.442791869,1.797135813,2.482917079,4.464033154,4.385659397,3.40536279,3.359844697,3.66135252,1.796951317,1.557378965,0.779021129,0.997921632,0.357270396,0.351895912,3.38038164,1.258013096,1.392966983,0.681295967,0.773444822,0.557650946,0.487424971
ASV000010,0.023769033,2.813173094,3.223889014,3.481166705,2.407766951,1.354852993,0.909875701,1.040787228,0.022094983,0.054785707,0.078871233,0.030531514,0.059677245,0.063397874,0.01392714,1.256829732,3.183237948,1.507383852,1.085000502,2.076773805,7.829149406,1.691115188,2.448194721,3.436791633,3.136732317,3.61527341,2.999379733,1.764306158,1.344810852,1.106763924,2.689024029,5.519539678,3.085459396,2.690161533,1.913203581,1.039754457,1.91232474,3.099134549,2.707306295,1.966970407,1.894326633,1.581259474,1.243820004
ASV000011,0.012295586,0.175680195,4.346923697,3.646344726,3.365715127,2.717623418,2.0320352,2.216297748,0.001245128,0,0.001380948,0,0.005218558,0,0,0.317329577,2.597393646,2.079629805,3.296066501,2.290150328,3.856727402,2.515217308,0.183155991,2.765063748,2.207287022,3.104641659,3.699269134,3.091663312,3.193354385,0.193157237,3.586836078,2.20488174,2.054618774,1.514605254,1.495954644,0.964096065,0.194022121,3.417636414,2.327790393,1.90023088,1.913389396,1.839027708,1.266930258
ASV000012,0.803824772,2.577596384,2.047128899,2.006680174,2.655500865,2.766129329,3.086594021,3.053064029,0.005444844,0,0.001052853,0.004492176,0.001818909,0.0035486,0,0.828229323,0.621354837,0.610803983,0.218983028,0.270456014,0.493665871,0.341497597,1.0260663,1.004657188,0.779619046,0.945266994,1.429459868,1.794987281,1.770410447,2.429231459,2.160991909,1.473759043,1.824725298,1.61130855,1.14989,0.781665572,1.434799102,1.684261815,1.100115328,1.470460468,1.27750712,1.15836892,1.471870545
ASV000013,1.44877744,1.290462211,1.311893106,1.272215984,1.179682095,1.297784983,1.273606496,1.305924639,0.584684106,0.53790633,0.45704328,0.423259973,0.466576847,0.542363526,0.546599819,1.198975143,0.928713801,0.84266788,0.655412378,0.768835623,1.227166834,1.104259253,1.173896148,1.144734502,1.169658576,1.128340483,1.360675941,1.566011706,1.348602796,1.47633972,1.442713026,1.267847275,1.256905261,1.214039414,1.374871554,0.902171023,1.321771211,1.436507413,1.265036325,1.17294725,1.066470946,1.022706027,1.304309389
ASV000014,0.237910859,0.128740596,0.124442251,0.092032551,0.07052059,0.034455263,0.028306996,0.011648893,0.483241307,8.676883873,8.618519333,5.952174167,4.818413285,4.263517054,2.989210061,0.103066549,0.20045432,0.117488068,0.103058899,0.197379272,0.248665964,0.060158864,0.133370269,0.148421471,0.127540851,0.072707325,0.074306737,0.055793039,0.010770935,0.326323274,0.309099011,0.339498352,0.103549413,0.132203562,0.109010402,0.014461518,0.300033294,0.230838357,0.240999008,0.108490163,0.078860823,0.038450786,0.057635213
ASV000015,0.369542132,0.350411934,0.529788748,0.788106488,0.617491657,0.676722913,0.58483428,0.70118841,2.262025718,1.958480835,1.788242268,1.276457002,1.130506621,0.772286206,0.868682921,0.253095323,0.496321486,1.094567458,1.374157386,0.589754202,0.680900655,1.471078916,0.404521615,0.615873713,0.735412317,1.346259451,1.053600582,1.264400903,1.451012547,0.386548351,1.347053853,1.573182119,1.727385033,1.851574189,1.565666416,2.352759716,0.772102312,1.065999698,1.279607304,1.389869426,1.218534031,1.364633425,1.395375242
ASV000016,0.023686862,2.06380675,1.94013618,1.989167691,1.41642157,0.741325662,0.505402922,0.670399714,0.03779273,0.074774024,0.088062896,0.039465701,0.075919951,0.047869327,0.03350994,0.225822456,0.595804641,0.442616637,0.188683551,0.237588455,1.157849742,0.346201478,1.371012691,1.889156146,1.830421033,1.93859183,1.71568422,1.220744504,0.901639621,0.613686943,1.999310207,3.247028276,1.902538188,1.416846458,0.859747815,0.382673306,1.288607422,2.447624681,1.488198161,1.306143777,1.068527265,0.909471722,0.894677436
ASV000017,0.604584522,1.118796859,1.088274007,0.841622274,0.556579708,0.717668642,0.598982236,1.120984832,0.059910586,0.078945129,0.079733027,0.087429872,0.126630127,0.135169942,0.169513405,0.799105071,0.975931273,0.674615611,0.477692757,0.736697125,1.119165726,1.36279465,0.91957354,1.164764298,1.128130689,1.068078888,1.311508038,1.113349457,2.000701733,1.323995338,1.355532564,0.997809184,0.951154228,0.894408341,1.017713554,1.091654862,1.66893852,1.701783075,1.302175834,1.063043026,1.070266968,1.0843491,1.574225157
ASV000018,8.728441641,1.777778332,0.639661919,0.59283933,0.462330364,0.684542385,0.583200345,0.12990412,1.077096078,0.122875928,0.269066482,0.130172257,0.259780357,0.415863853,0.221096373,1.952277557,3.177464681,1.749231771,0.706697904,0.339261455,0.07625066,0.080783031,0.823391009,0.360211455,0.366240542,0.269491924,0.079260353,0.002801591,0,1.727442171,0.984036108,0.632243018,0.586171348,0.677356507,0.549961096,0.846561904,1.980346189,0.743394944,0.8005092,0.547158557,0.793847279,0.38929121,0.31349242
ASV000019,0.211000433,0.937601585,0.964477781,1.042038391,1.508420787,1.15359853,1.371871521,1.769139232,0.002722422,0,0.010269104,0.001701375,0,0,0,0.565511971,0.491909328,0.511220713,0.196590497,0.181237957,0.410252873,0.268608205,1.029055823,0.956537471,0.905291913,1.357882759,1.451499439,1.639720704,1.857670371,1.993720957,1.969852019,1.487501753,1.85552315,1.717807031,1.255737319,0.926647922,1.175869708,1.659642151,0.938046636,1.305792812,1.476944001,1.231529727,1.403281318
ASV000020,0.006282788,0,0.009427182,0.002496879,0.009395494,0.020487236,0.008724686,0.011648893,0.020455002,0.004653317,0.007879282,0.003402749,0.012602211,0.01290202,0.009513003,0.018754437,0.036588543,0.042378167,0.048100937,0.014288021,0.010076753,0.001590128,0,0.002766022,0.001968775,0.004422626,0.003171344,0.010645666,0.002072711,0.00166135,0.017960445,1.22455466,1.65448084,2.250113445,6.714298941,7.156088006,0.007114146,0.020284812,1.08870048,4.092315205,3.643845021,6.788936303,7.421870853
ASV000021,0.03868951,3.408153395,2.704819187,2.985613133,5.701008727,6.726344004,5.882877659,4.41367023,0.001361211,0,0.001958825,0,0,0,0,0.002709366,0,0.002314011,0.008486723,0.001245733,0,0.001580628,0.004364075,0.00178215,0.003315073,0,0.001624273,0,0,0.022353513,0.010938354,0.016941974,0,0.013841925,0.009607532,0,0,0,0,0.001562744,0,0.002996389,0
