sequence	16S_rRNA_Count	metadata_NSTI
ASV008471	1	0.14815899999999999
ASV005155	1	7.1090990000000005
ASV001544	3	0.23641700000000002
ASV006509	3	0.257308
ASV000101	1	0.15343900000000002
ASV002788	1	0.076002
ASV000249	1	0.116823
ASV000589	1	0.11686700000000001
ASV001246	1	0.231258
ASV002238	1	0.231258
ASV005053	1	0.231258
ASV005401	1	0.231258
ASV006450	1	0.231258
ASV004180	1	0.231258
ASV000586	1	0.044095
ASV000673	1	0.042262
ASV001316	1	0.066161
ASV000938	1	0.000101
ASV000434	4	0.00015
ASV000462	4	0.053626
ASV001522	1	0.09271900000000001
ASV004313	1	0.018254
ASV000675	1	0.071326
ASV002872	1	0.035095
ASV003049	1	0.092693
ASV000149	1	0.003251
ASV000871	1	0.009829000000000001
ASV001003	1	0.011495
ASV003061	1	0.04351
ASV000490	1	0.055342999999999996
ASV000691	1	0.045459
ASV005022	1	0.055027
ASV000793	1	0.000101
ASV001937	1	0.005211
ASV001193	1	0.001492
ASV000870	3	0.047469
ASV000186	3	0.004964
ASV001601	3	0.009945
ASV001713	3	0.011641
ASV000486	1	0.111479
ASV001181	1	0.04092
ASV000188	1	0.015522
ASV000192	1	0.013822
ASV000687	1	0.060453999999999994
ASV003168	1	0.0016359999999999999
ASV001616	3	0.001686
ASV002550	6	0.018275
ASV000639	6	0.01789
ASV000600	3	0.0016309999999999999
ASV000155	1	0.000101
ASV002226	1	0.004927
ASV002353	1	0.000101
ASV000303	1	0.316331
ASV001488	1	0.071613
ASV003171	1	0.028725999999999998
ASV002941	1	0.06369
ASV004021	1	0.192191
ASV006309	1	0.192191
ASV000873	7	0.022413
ASV005529	4	0.010884
ASV004136	1	0.142057
ASV007802	1	0.120996
ASV003547	1	0.14590899999999998
ASV007555	1	0.138004
ASV008873	1	0.06264299999999999
ASV001680	1	0.047835
ASV016289	1	0.10953800000000001
ASV005923	1	0.132326
ASV000836	1	0.099648
ASV001247	1	0.099347
ASV001470	1	0.103279
ASV001565	1	0.07662100000000001
ASV001736	1	0.089267
ASV001935	1	0.10385
ASV002451	1	0.099598
ASV002477	1	0.092477
ASV003861	1	0.10901199999999998
ASV000040	1	0.11316199999999998
ASV002637	1	0.115632
ASV000026	11	0.000101
ASV002478	11	0.042151
ASV002534	9	0.032811
ASV000604	1	0.00015
ASV002764	2	0.006594
ASV000626	3	0.000102
ASV000717	4	0.000101
ASV001244	6	0.000101
ASV000540	6	0.004949
ASV000977	6	0.006612000000000001
ASV001471	1	0.000101
ASV001314	8	0.000101
ASV001067	1	0.000101
ASV000200	1	0.000103
ASV006080	1	0.06790399999999999
ASV008239	1	0.068428
ASV000683	1	0.062765
ASV001561	1	0.072923
ASV001799	1	0.077034
ASV000446	4	0.066733
ASV003366	4	0.07705
ASV000276	2	0.000101
ASV000928	2	0.001637
ASV001564	2	0.001644
ASV016332	2	0.06565499999999999
ASV005683	2	0.074987
ASV006994	2	0.065389
ASV008864	2	0.050262
ASV007252	2	0.075463
ASV009369	2	0.063173
ASV012417	2	0.06662799999999999
ASV012449	2	0.07399
ASV000518	2	0.023424
ASV002566	2	0.019976
ASV006365	2	0.05074
ASV001374	2	0.021736000000000002
ASV002774	2	0.042923
ASV001331	2	0.032434
ASV000970	2	0.036015
ASV000746	2	0.037781
ASV001531	2	0.039647
ASV000875	2	0.039636000000000005
ASV002595	2	0.043135
ASV002042	2	0.044989999999999995
ASV000109	2	0.046915
ASV000616	2	0.056822000000000004
ASV000096	2	0.05708
ASV003699	2	0.058363
ASV012157	2	0.08680299999999999
ASV005488	2	0.063821
ASV002711	2	0.071871
ASV008404	2	0.090335
ASV007065	2	0.029138999999999998
ASV006777	2	0.051149
ASV001410	2	0.061223
ASV008067	2	0.061172000000000004
ASV008867	2	0.065151
ASV001302	2	0.071302
ASV002574	2	0.071228
ASV008857	2	0.053341999999999994
ASV001712	2	0.029101
ASV001861	2	0.038213
ASV006244	2	0.041525
ASV002673	2	0.038041000000000005
ASV005016	2	0.030532
ASV002867	2	0.023618
ASV001903	2	0.009893
ASV004636	2	0.025325999999999998
ASV003349	2	0.071631
ASV000935	2	0.026994
ASV000786	2	0.027116
ASV000484	2	0.030545
ASV000954	2	0.030642000000000003
ASV000720	2	0.030642000000000003
