,Treatment1_All,Treatment2_LC_P_B,Treatment3_BHET_LCB,Treatment4_PET,Treatment5_PET_BHET,Treatment6_BHET_NoC,Treatment7_LC_NoC
RD00I1,Inoc1,,,,,,
RD00I2,Inoc2,,,,,,
RD00I3,Inoc3,,,,,,
RD00I4,Inoc4,,,,,,
RD01W1,Day01NoC1,,,,,NoC,NoC
RD01W2,Day01NoC2,,,,,NoC,NoC
RD01W3,Day01NoC3,,,,,NoC,NoC
RD01LCW1,Day01LowCrysWater1,LCP,,,,,
RD01LCW2,Day01LowCrysWater2,LCP,,,,,
RD01LCW3,Day01LowCrysWater3,LCP,,,,,
RD01LC1,Day01LowCrys1,LCB,LCB,LCB,PET,,LCB
RD01LC2,Day01LowCrys2,LCB,LCB,LCB,PET,,LCB
RD01LC3,Day01LowCrys3,LCB,LCB,LCB,PET,,LCB
RD01P1,Day01PET1,,,PET,PET,,
RD01P2,Day01PET2,,,PET,PET,,
RD01P3,Day01PET3,,,PET,PET,,
RD01WP1,Day01WeatherPET1,,,WPET,PET,,
RD01WP2,Day01WeatherPET2,,,WPET,PET,,
RD01WP3,Day01WeatherPET3,,,WPET,PET,,
RD01B1,Day01BHET1,,BHET,,BHET,BHET,
RD01B2,Day01BHET2,,BHET,,BHET,BHET,
RD01B3,Day01BHET3,,BHET,,BHET,BHET,
RD01C1,Day01ExtractionControl,,,,,,
RD03W1,Day03NoC1,,,,,NoC,NoC
RD03W2,Day03NoC2,,,,,NoC,NoC
RD03W3,Day03NoC3,,,,,NoC,NoC
RD03LCW1,Day03LowCrysWater1,LCP,,,,,
RD03LCW2,Day03LowCrysWater2,LCP,,,,,
RD03LCW3,Day03LowCrysWater3,LCP,,,,,
RD03LC1,Day03LowCrys1,LCB,LCB,LCB,PET,,LCB
RD03LC2,Day03LowCrys2,LCB,LCB,LCB,PET,,LCB
RD03LC3,Day03LowCrys3,LCB,LCB,LCB,PET,,LCB
RD03P1,Day03PET1,,,PET,PET,,
RD03P2,Day03PET2,,,PET,PET,,
RD03P3,Day03PET3,,,PET,PET,,
RD03WP1,Day03WeatherPET1,,,WPET,PET,,
RD03WP2,Day03WeatherPET2,,,WPET,PET,,
RD03WP3,Day03WeatherPET3,,,WPET,PET,,
RD03B1,Day03BHET1,,BHET,,BHET,BHET,
RD03B2,Day03BHET2,,BHET,,BHET,BHET,
RD03B3,Day03BHET3,,BHET,,BHET,BHET,
RD03C1,Day03ExtractionControl,,,,,,
RD07W1,Day07NoC1,,,,,NoC,NoC
RD07W2,Day07NoC2,,,,,NoC,NoC
RD07W3,Day07NoC3,,,,,NoC,NoC
RD07LCW1,Day07LowCrysWater1,LCP,,,,,
RD07LCW2,Day07LowCrysWater2,LCP,,,,,
RD07LCW3,Day07LowCrysWater3,LCP,,,,,
RD07LC1,Day07LowCrys1,LCB,LCB,LCB,PET,,LCB
