pathway	Day01LowCrysWater3	Day21BHET2	Day21BHET3	Day21ExtractionControl	Day30NoC1	Day30NoC2	Day30NoC3	Day30LowCrysWater1	Day30LowCrysWater2	Day30LowCrysWater3	Day30LowCrys1	Day01LowCrys1	Day30LowCrys2	Day30LowCrys3	Day30PET1	Day30PET2	Day30PET3	Day30WeatherPET1	Day30WeatherPET2	Day30WeatherPET3	Day30BHET1	Day30BHET2	Day01LowCrys2	Day30BHET3	Day30ExtractionControl	Day42NoC1	Day42NoC2	Day42NoC3	Day42LowCrysWater1	Day42LowCrysWater2	Day42LowCrysWater3	Day42LowCrys1	Day01LowCrys3	Day42LowCrys3	Day42PET2	Day42PET3	Day42WeatherPET1	Day42WeatherPET2	Day42WeatherPET3	Day42BHET1	Day42BHET2	Day42BHET3	Day01PET1	Day42ExtractionControl	Day01PET2	Day01PET3	Day01WeatherPET1	Day01WeatherPET2	Day01WeatherPET3	Inoc2	Day01BHET1	Day01BHET2	Day01BHET3	Day01ExtractionControl	Day03NoC1	Day03NoC2	Day03NoC3	Day03LowCrysWater1	Day03LowCrysWater2	Day03LowCrysWater3	Inoc3	Day03LowCrys1	Day03LowCrys2	Day03LowCrys3	Day03PET1	Day03PET2	Day03PET3	Day03WeatherPET1	Day03WeatherPET2	Day03WeatherPET3	Day03BHET1	Inoc4	Day03BHET2	Day03BHET3	Day03ExtractionControl	Day07NoC1	Day07NoC2	Day07NoC3	Day07LowCrysWater1	Day07LowCrysWater2	Day07LowCrysWater3	Day07LowCrys1	Day01NoC1	Day07LowCrys2	Day07LowCrys3	Day07PET1	Day07PET2	Day07PET3	Day07WeatherPET1	Day07WeatherPET2	Day07WeatherPET3	Day07BHET1	Day07BHET2	Day01NoC2	Day07BHET3	Day07ExtractionControl	Day14NoC1	Day14NoC2	Day14NoC3	Day14LowCrysWater1	Day14LowCrysWater2	Day14LowCrysWater3	Day14LowCrys1	Day14LowCrys2	Day01NoC3	Day14LowCrys3	Day14PET1	Day14PET2	Day14PET3	Day14WeatherPET1	Day14WeatherPET2	Day14WeatherPET3	Day14BHET1	Day14BHET2	Day14BHET3	Day01LowCrysWater1	Day14ExtractionControl	Day21NoC1	Day21NoC2	Day21NoC3	Day21LowCrysWater1	Day21LowCrysWater2	Day21LowCrysWater3	Day21LowCrys1	Day21LowCrys2	Day21LowCrys3	Day01LowCrysWater2	Day21PET1	Day21PET2	Day21PET3	Day21WeatherPET1	MiSeqControl1	MiSeqControl2	MiSeqControl3	Day21WeatherPET2	Day21WeatherPET3	Day21BHET1
1CMET2-PWY	42.6189	51.4778	53.0319	77.5692	63.2003	54.5605	66.0297	57.8467	57.3834	53.0718	71.7852	56.4509	63.2596	63.2368	53.9404	60.6482	56.307	54.7183	54.4777	58.8315	53.6381	49.0527	51.8492	53.3364	90.63	55.1027	52.8801	57.3084	48.8515	54.6048	52.082	62.2291	46.0941	76.3081	63.1169	66.0753	56.4298	55.8816	52.853	51.1098	48.2341	55.6141	43.0187	101.5423	43.011	42.5096	40.1128	37.2702	41.4422	54.0859	32.9687	34.1074	31.7409	96.8518	56.0824	53.0938	54.3664	37.3063	43.686	36.3515	55.7597	57.3731	57.1502	51.2512	45.2529	45.9935	43.2355	45.3232	37.6684	37.015	53.5688	62.3712	56.6265	55.3618	96.7249	56.5852	55.5068	60.7855	40.8256	44.0211	37.6662	53.9801	61.5165	51.5557	46.0865	63.3982	52.0474	52.1304	53.5438	47.9251	52.763	48.906	53.6322	58.3453	55.0095	101.2155	60.7164	61.4735	63.9932	50.4388	56.6758	47.5243	65.9568	63.5863	59.404	58.7311	56.5792	54.5056	54.9885	58.5771	48.9842	49.732	51.2844	51.5327	51.3635	41.9609	96.9412	59.4314	59.1307	66.8375	52.7173	57.9402	49.3074	67.098	60.4075	59.2859	46.5107	59.1587	56.4824	54.5742	58.7688	104.1619	104.8074	52.6867	55.3922	55.0997	55.8715
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.1691	0.5942	0.9236	5.7484	0.2447	0.3362	0.9519	0.1816	0.2407	0.3767	0.8089	1.4233	1.1517	1.2525	0.1255	0.3346	0.1295	0.3462	0.1554	0.1877	0.5038	0.3374	1.8243	0.869	6.5587	0.3969	0.6927	1.111	0.1491	0.398	0.167	0.9628	1.7586	1.3628	0.3691	0.5095	0.1589	0.2128	0.0926	0.579	0.4006	0.9329	0.1714	9.448	0.3867	0.1084	0.3177	0.2279	0.1157	1.8712	1.3003	1.1182	1.2622	8.2241	0.2497	0.3832	0.7443	0.1214	0.2658	0.1968	2.2102	1.58	2.2722	1.2044	0.3394	0.1576	0.1268	0.4041	0.0645	0.2007	0.6839	2.7998	0.7799	0.5623	10.1682	0.3945	0.1738	0.9046	0.2936	0.2046	0.1973	1.8121	0	0.9929	0.8466	0.3679	0.3529	0.1283	0.2419	0.1796	0.1887	0.7369	0.4921	0.2803	0.818	7.4686	0.3258	0.2547	1.0958	0.2312	0.064	0.2765	1.2696	1.2372	0.6822	1.774	0.1279	0.1855	0.3032	0.1282	0	0.1277	0.4861	0.3883	0.8009	0.29	8.0269	0.2466	0.4486	0.8671	0.0657	0.1162	0.0837	1.7417	0.8133	1.8185	0.1229	0.2137	0.2498	0.1271	0.1905	0	81.0743	0	0.2879	0.3225	0.7338
AEROBACTINSYN-PWY	0	0	0	0.1435	0	0	0.0159	0	0	0	0	0	0	0	0	0.0159	0	0	0	0.0265	0	0	0.0266	0	0.0913	0	0	0	0	0	0.0133	0	0	0.0133	0	0	0	0	0	0	0	0	0	0.0944	0.0133	0	0	0	0	0.0133	0.0133	0.0133	0	0.0528	0	0	0	0	0	0	0.0919	0	0	0	0	0	0	0.0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0.0665	0	0.0133	0	0	0	0	0	0	0	0.0526	0	0	0	0	0	0	0.0133	0.0133	0	0	0	0	0.0133	0	0	0	0	0	0	0	0.0397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-CHORISMATE-PWY	2.8478	16.7477	18.5258	17.9174	15.5554	19.7711	14.4992	7.5409	12.8759	9.5771	29.8036	18.2813	25.9814	28.4263	7.1826	7.4839	13.9499	10.7945	13.1116	8.8278	19.9054	13.6399	16.9489	19.1467	13.4212	10.4296	15.7279	11.0981	5.4664	4.5491	7.5083	16.1748	13.5092	20.3104	2.6411	7.5752	7.4881	11.0642	6.6596	15.8144	14.3715	20.4712	2.5986	5.0981	1.7122	1.2455	4.2818	9.3109	4.9933	12.8281	2.7006	2.104	2.0887	10.5558	3.1116	20.5214	2.4305	3.9317	2.5691	4.0408	11.0168	15.076	17.257	12.6085	3.957	1.7042	1.9273	2.1339	12.0796	8.1829	21.824	14.6639	20.7652	21.745	11.9035	14.5919	24.508	13.0236	11.2439	14.0678	8.5135	18.3351	5.071	12.9142	13.453	7.2342	8.2211	19.3683	11.2686	12.8619	10.105	15.2363	16.8502	19.8458	16.2173	9.248	18.4955	32.7135	17.2916	17.7603	22.4256	14.7873	14.227	15.3164	4.6147	19.1707	12.2946	10.5599	22.7109	10.7886	17.0326	14.3112	12.5262	11.5919	13.8399	4.7924	8.6753	19.6058	28.1973	17.263	18.8002	24.2057	15.0157	28.2537	17.3173	24.2748	2.4141	10.5235	9.377	18.2528	11.789	1.8485	0	0	14.8936	14.6086	18.3421
ANAEROFRUCAT-PWY	40.6809	41.9057	42.0341	62.3549	51.5739	48.5425	50.1813	55.9839	49.5698	50.4326	53.9099	42.1664	44.0256	45.6412	33.9009	38.3403	39.3053	29.3241	32.3629	33.5586	39.0226	38.5689	39.1369	40.784	68.9751	42.208	42.7041	38.9782	43.8619	45.2053	45.451	50.3388	35.8707	64.0684	38.5086	50.7842	30.4004	29.818	30.7227	36.7701	37.8348	40.3994	35.7628	74.2596	36.9772	38.6593	31.4122	31.508	32.8129	22.512	29.3187	30.3291	29.869	72.2856	50.7837	45.7772	47.9073	29.5757	34.0777	27.371	22.3925	40.1041	40.7785	38.2866	33.5526	36.4715	32.6707	32.231	28.0206	27.1251	43.0601	24.5263	46.8914	45.1882	76.6914	48.9428	50.1721	51.5511	33.0189	34.6828	30.6539	41.9996	59.1037	40.0609	36.4992	45.7892	36.127	38.207	32.8123	31.5003	31.8485	39.7529	43.8277	56.8418	45.0013	72.1775	51.5773	53.2753	46.8978	46.0898	47.2755	40.9346	53.3645	51.556	54.8525	46.2857	41.3906	41.025	43.7728	28.2308	33.249	33.9679	40.6226	42.1084	41.794	37.7527	75.711	48.4316	49.3937	47.6118	48.8405	50.7547	46.9846	49.5026	49.1474	45.9706	43.424	42.3258	42.5474	42.6321	34.9274	98.2793	102.0069	33.7783	34.5597	37.0059	42.2646
ANAGLYCOLYSIS-PWY	43.7796	53.8623	55.207	81.5625	71.9769	59.8746	73.1472	61.2105	61.258	55.2229	70.4043	58.3278	64.0758	62.3187	53.9702	64.9596	60.1932	59.0896	55.4879	61.077	54.8688	49.3781	51.4682	53.8412	94.5819	61.7434	57.9247	62.7226	49.9032	58.164	52.3652	62.6978	46.0804	68.2876	58.7009	73.9049	60.6481	53.7298	52.5959	51.6653	50.0999	55.6318	45.3382	105.0956	45.5355	44.8498	41.6197	36.2229	43.0111	50.6641	30.6443	31.5751	30.8968	101.8259	60.0542	51.5582	57.7799	36.0713	43.8384	34.5634	52.1082	58.7464	58.8724	51.9229	45.6007	46.9149	43.1116	45.5186	34.7157	35.7261	45.1863	58.4332	48.8449	46.6649	101.1533	59.0571	55.2645	64.6922	39.5406	43.0873	36.3587	54.325	66.6912	50.9711	44.2705	64.7698	57.2111	59.6656	61.4646	53.8095	57.667	43.2838	47.6418	59.2115	48.0639	104.7989	66.2175	64.073	70.0193	52.064	59.6996	47.6035	58.9293	56.8914	64.444	62.4383	62.8461	60.9251	64.6217	57.8131	54.4717	55.9863	54.8069	55.8554	54.7261	42.9097	102.4134	66.6023	64.3675	74.1115	54.542	62.721	51.0318	66.8918	56.306	60.9291	48.6279	65.4959	62.5825	61.9863	63.5537	111.874	106.1639	60.2102	62.7674	61.9624	59.906
ARG+POLYAMINE-SYN	27.8418	22.6306	23.4431	39.1095	37.9446	36.6061	36.9085	42.6006	41.3918	37.8517	49.586	41.0965	44.9778	41.7866	32.8451	35.3551	36.8108	31.631	28.4541	32.6986	27.0426	22.6775	30.5896	25.3487	41.6008	36.2426	35.5843	37.1655	35.2217	39.5172	36.4704	44.7985	27.9489	52.6206	37.8673	39.0188	33.2625	26.9845	30.0703	24.2442	21.3845	29.7091	29.2247	47.728	30.2891	30.4621	26.1485	18.6912	26.7166	24.2252	22.3844	22.812	21.7612	44.4188	41.8069	38.473	39.8352	20.959	26.8921	17.9077	24.2487	37.5891	37.9419	31.5063	30.2305	30.7647	29.2771	28.6554	19.4573	22.5213	31.0105	28.5419	31.5324	31.6834	49.165	41.3072	40.352	44.5709	23.1305	27.2593	18.8165	34.874	46.6299	34.3727	28.5587	30.7863	30.0754	29.064	24.9854	22.7971	27.6715	25.003	28.1752	42.7912	27.6343	46.8274	43.3264	44.7667	43.105	34.415	38.4243	27.3159	42.4385	40.2604	44.7828	28.6955	34.8757	33.6292	33.9415	30.1008	24.5611	31.8003	22.4611	20.2281	21.1576	25.6531	48.2144	38.588	40.4553	33.489	36.8122	42.4926	32.856	44.3542	38.3696	34.0468	33.1282	37.0418	35.5069	34.5274	30.6829	60.4424	14.7523	18.9554	26.087	34.1571	25.7077
ARGDEG-PWY	6.726	6.4912	5.2284	4.4706	3.3433	3.502	3.0812	8.2717	6.3052	7.8837	5.0017	4.406	7.3529	4.9818	1.9877	1.8266	2.2763	1.6786	2.3638	3.2051	4.6142	4.8342	4.7519	5.1878	2.522	3.2822	2.8738	2.9736	9.2528	7.1049	7.1257	7.7556	4.0194	4.793	1.9633	2.6426	2.6063	1.7898	2.1373	4.8961	6.2114	4.3198	7.0453	0.1349	7.924	8.3751	7.6723	8.1308	7.1356	4.0263	5.7428	5.9374	4.8168	1.7524	7.2714	4.8807	5.9409	4.1942	6.1492	4.523	2.7417	5.5221	5.8545	5.5444	5.3595	6.3964	4.1592	5.0128	4.2255	3.3238	7.6388	3.4368	7.5113	5.9077	2.5127	8.2289	5.4865	5.9016	5.7251	5.8392	6.7568	4.5034	8.2557	5.3575	5.6055	5.3892	4.9559	4.3371	4.7947	4.638	3.9041	7.6372	6.3534	8.3986	6.5533	0.9241	6.0956	5.0792	5.7976	7.7413	7.7667	8.363	3.5581	5.0513	7.9468	5.3835	2.1309	2.6866	3.8093	1.3427	2.8595	3.5837	5.4287	6.217	5.5672	6.7559	0.4919	4.2737	3.5768	2.5213	8.4413	7.9749	8.9974	4.7952	4.84	6.8482	7.6931	3.2035	4.1894	3.1726	3.0739	36.6354	0	0	2.1248	3.4224	5.6542
ARGORNPROST-PWY	10.1534	24.4232	25.4174	18.1129	18.1454	17.5397	14.4747	13.116	14.0258	14.4428	9.7018	11.2694	13.2905	11.746	18.8435	19.7365	18.5254	20.3659	19.7349	20.3385	23.9611	23.516	11.631	25.4073	15.2618	18.1582	18.9878	16.1438	13.3186	14.532	14.3235	11.6081	12.7104	11.2032	15.6983	20.5396	21.1859	18.9914	18.3673	23.7844	23.8626	24.9179	13.2612	10.706	13.8267	12.9299	15.4004	14.7185	13.9127	14.9512	14.3799	15.4596	13.7351	15.0216	11.5345	14.0002	11.3815	11.5369	10.8434	10.8805	15.2445	11.3007	12.1683	11.0327	13.9686	12.9722	13.6267	14.661	14.0845	14.5946	20.5178	16.657	21.2279	22.2594	15.442	13.0722	15.1677	11.764	10.5874	11.4174	10.9388	10.4742	12.911	10.3666	11.5024	18.8503	21.9645	24.0266	28.5902	24.1866	22.8836	17.9973	19.9464	14.995	17.7236	14.7754	15.1066	17.1318	14.114	12.5932	13.2116	12.7846	7.2053	10.2798	11.5828	17.5928	22.9614	20.3888	21.5989	19.1975	23.4538	21.1837	24.8954	26.1549	26.0193	10.2147	12.0427	17.4988	19.6469	14.1238	13.907	13.6274	13.4805	8.5602	11.1549	13.5446	11.7259	23.2132	21.3301	19.8214	23.2588	1.0031	0.3537	20.7607	25.188	22.3965	25.9018
ARGSYN-PWY	42.4419	50.4504	51.726	76.2191	64.0056	55.2258	65.4937	58.3311	57.6137	54.3027	70.5117	55.2144	62.9	62.7367	53.2694	60.6319	56.4473	54.4456	52.9465	58.0761	51.9179	48.2577	49.8758	52.0437	84.6885	55.9261	52.6832	57.0704	48.7652	54.847	52.5371	61.9113	43.9799	74.0363	62.6639	67.1009	56.516	54.397	52.9178	50.2492	47.5079	54.2964	42.2794	96.1452	42.5491	42.2956	39.9519	36.1458	40.1993	48.651	33.8165	35.0925	33.6524	89.9076	56.6053	53.2188	54.9247	36.8442	42.952	35.3316	50.3485	55.7972	55.6542	49.4127	44.584	45.6379	42.4595	44.9723	36.8512	36.9693	52.1152	56.3614	55.1491	54.1781	92.9891	56.4225	55.6819	60.5739	39.6685	42.802	36.8695	51.9664	61.5649	50.1334	44.4308	62.4543	51.6209	51.4858	52.4792	46.567	51.5684	47.1369	51.8116	58.4057	52.7791	92.0169	60.8068	61.1508	63.1471	49.9764	56.0318	46.9486	62.1434	59.388	59.2487	56.8214	56.5378	54.9733	56.1745	57.9027	47.6549	49.6115	50.4298	50.7594	50.5444	41.1327	94.2984	59.7357	59.0756	66.1132	52.6207	57.6488	50.1895	65.4488	57.5543	58.1568	46.4091	59.1103	56.8357	55.1124	57.8737	84.5924	15.9406	45.4814	53.9322	55.1133	54.4369
