#Batch CD-search tool	NIH/NLM/NCBI									
#cdsid	QM3-qcdsearch-1D4DCAEC1C1DDBC2-146D72111A946631									
#datatype	hitsFull Results									
#status	0									
#Start time	2019-06-07T14:37:35	Run time	0:00:06:46							
#status	success									
										
Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187643	1	208	3.66E-53	170.897	cd08939	KDSR-like_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	355392	1	208	3.66E-53	170.897	cl25409	SDR superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	212491	4	208	1.77E-52	168.616	cd05233	SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	333842	2	190	1.58E-46	152.376	pfam00106	adh_short	 - 	cl37959
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	333842	2	190	1.58E-46	152.376	cl37959	adh_short superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	223377	1	209	3.51E-44	148.55	COG0300	DltE	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187632	2	209	5.83E-42	142.37	cd05374	17beta-HSD-like_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	236074	3	221	2.90E-41	140.209	PRK07666	fabG	 - 	cl35604
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	236074	3	221	2.90E-41	140.209	cl35604	fabG superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	212493	3	207	2.97E-39	134.413	cd08932	HetN_like_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187593	5	219	4.99E-39	135.021	cd05332	11beta-HSD1_like_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	223959	3	208	1.54E-38	133.404	COG1028	FabG	 - 	cl34069
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	223959	3	208	1.54E-38	133.404	cl34069	FabG superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	226674	3	182	4.39E-37	129.68	COG4221	YdfG	C	cl34739
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	226674	3	182	4.39E-37	129.68	cl34739	YdfG superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	236372	5	209	1.66E-36	128.521	PRK09072	PRK09072	 - 	cl35762
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	236372	5	209	1.66E-36	128.521	cl35762	PRK09072 superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	235506	1	208	4.52E-35	124.569	PRK05565	fabG	 - 	cl35338
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	235506	1	208	4.52E-35	124.569	cl35338	fabG superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187639	4	209	7.31E-32	116.098	cd08934	CAD_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187598	3	209	2.22E-31	114.647	cd05339	17beta-HSDXI-like_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187618	5	208	3.64E-31	114.017	cd05360	SDR_c3	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187628	2	176	1.13E-30	112.4	cd05370	SDR_c2	C	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	235935	3	187	1.15E-29	112.322	PRK07109	PRK07109	C	cl35544
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	235935	3	187	1.15E-29	112.322	cl35544	PRK07109 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	235990	3	208	1.51E-29	109.715	PRK07326	PRK07326	 - 	cl35569
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	235990	3	208	1.51E-29	109.715	cl35569	PRK07326 superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	131468	3	189	2.34E-29	109.849	TIGR02415	23BDH	C	cl31208
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	131468	3	189	2.34E-29	109.849	cl31208	23BDH superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	180984	1	220	3.07E-29	108.893	PRK07454	PRK07454	 - 	cl32218
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	180984	1	220	3.07E-29	108.893	cl32218	PRK07454 superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	181298	1	207	9.09E-29	107.326	PRK08219	PRK08219	 - 	cl32277
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	181298	1	207	9.09E-29	107.326	cl32277	PRK08219 superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187624	3	190	3.97E-28	106.692	cd05366	meso-BDH-like_SDR_c	C	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187636	6	212	9.02E-28	104.841	cd08931	SDR_c9	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	235546	1	207	1.71E-27	104.472	PRK05653	fabG	 - 	cl21454
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	354811	1	207	1.71E-27	104.472	cl21454	NADB_Rossmann superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	236210	1	212	1.92E-27	105.02	PRK08267	PRK08267	 - 	cl35669
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	236210	1	212	1.92E-27	105.02	cl35669	PRK08267 superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187614	4	168	2.28E-27	104.223	cd05356	17beta-HSD1_like_SDR_c	C	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187608	4	190	2.75E-27	103.949	cd05350	SDR_c6	C	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187604	3	174	2.90E-27	104.284	cd05346	SDR_c5	C	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	235726	1	209	1.79E-26	102.364	PRK06181	PRK06181	 - 	cl35441
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	235726	1	209	1.79E-26	102.364	cl35441	PRK06181 superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187634	4	208	3.68E-26	100.66	cd08929	SDR_c4	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	226476	2	173	1.51E-25	99.425	COG3967	DltE	C	cl21454
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	180744	1	209	5.20E-25	98.9423	PRK06914	PRK06914	 - 	cl21454
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	211705	1	221	9.68E-25	97.4403	TIGR01963	PHB_DH	 - 	cl33276
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	211705	1	221	9.68E-25	97.4403	cl33276	PHB_DH superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187631	3	212	1.10E-24	97.0679	cd05373	SDR_c10	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187585	3	175	1.11E-24	96.5374	cd05324	carb_red_PTCR-like_SDR_c	C	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187666	3	161	1.51E-24	97.1457	cd09806	type1_17beta-HSD-like_SDR_c	C	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	183775	3	208	3.95E-24	95.7537	PRK12826	PRK12826	 - 	cl32840
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	183775	3	208	3.95E-24	95.7537	cl32840	PRK12826 superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	212492	3	183	4.31E-24	96.1394	cd05327	retinol-DH_like_SDR_c_like	C	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187602	3	209	9.15E-24	95.0329	cd05344	BKR_like_SDR_like	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187620	3	207	1.03E-23	94.6491	cd05362	THN_reductase-like_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	237218	1	164	5.76E-23	92.6242	PRK12825	fabG	C	cl36191
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	237218	1	164	5.76E-23	92.6242	cl36191	fabG superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187586	4	167	7.57E-23	91.9736	cd05325	carb_red_sniffer_like_SDR_c	C	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	181518	4	190	1.21E-22	92.0962	PRK08643	PRK08643	C	cl32316
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	181518	4	190	1.21E-22	92.0962	cl32316	PRK08643 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	273824	4	175	2.47E-22	90.7308	TIGR01830	3oxo_ACP_reduc	C	cl36987
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	273824	4	175	2.47E-22	90.7308	cl36987	3oxo_ACP_reduc superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	235975	3	205	3.22E-22	90.6595	PRK07231	fabG	 - 	cl35565
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	235975	3	205	3.22E-22	90.6595	cl35565	fabG superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	181139	4	161	4.46E-22	90.8723	PRK07832	PRK07832	C	cl21454
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187605	3	175	5.84E-22	90.1097	cd05347	Ga5DH-like_SDR_c	C	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	338819	11	207	8.41E-22	89.3971	pfam13561	adh_short_C2	 - 	cl21454
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	180446	1	164	1.57E-21	89.5893	PRK06180	PRK06180	C	cl21454
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	235962	5	209	6.04E-21	90.3954	PRK07201	PRK07201	N	cl35559
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	235962	5	209	6.04E-21	90.3954	cl35559	PRK07201 superfamily	N	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187625	3	207	1.01E-20	86.5711	cd05367	SPR-like_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187594	3	165	1.13E-20	86.4475	cd05333	BKR_SDR_c	C	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187649	2	207	1.82E-20	86.4378	cd08945	PKR_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	181159	3	180	1.87E-20	86.1647	PRK07890	PRK07890	C	cl32249
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	181159	3	180	1.87E-20	86.1647	cl32249	PRK07890 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	235702	3	165	2.03E-20	86.3051	PRK06124	PRK06124	C	cl21454
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187599	5	206	2.32E-20	85.706	cd05340	Ycik_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	237219	4	207	7.40E-20	84.3862	PRK12827	PRK12827	 - 	cl36192
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	237219	4	207	7.40E-20	84.3862	cl36192	PRK12827 superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	180753	1	209	1.08E-19	83.9646	PRK06924	PRK06924	 - 	cl21454
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	181136	5	168	1.10E-19	84.6073	PRK07825	PRK07825	C	cl32246
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	181136	5	168	1.10E-19	84.6073	cl32246	PRK07825 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187584	4	209	1.12E-19	83.8895	cd05323	ADH_SDR_c_like	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	181762	1	202	1.18E-19	83.8941	PRK09291	PRK09291	 - 	cl32358
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	181762	1	202	1.18E-19	83.8941	cl32358	PRK09291 superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	235725	3	164	1.89E-19	83.7988	PRK06179	PRK06179	C	cl21454
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	235737	3	136	2.77E-19	83.9217	PRK06197	PRK06197	C	cl30682
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	235737	3	136	2.77E-19	83.9217	cl30682	PRK06197 superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	180448	1	184	3.05E-19	83.0855	PRK06182	PRK06182	C	cl32126
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	180448	1	184	3.05E-19	83.0855	cl32126	PRK06182 superfamily	C	 - 
