Gene,Name,Enzyme,Bp,F/C,Color
DMKJLJHC_02867,2867 tphA2II,"Terephthalate 1,2-dioxygenase, terminal oxygenase component subunit alpha 2",1265,F,
DMKJLJHC_02868,2868 tphA3I,"Terephthalate 1,2-dioxygenase, terminal oxygenase component subunit beta 1",485,F,
DMKJLJHC_02869,2869 tphBI,"1,2-dihydroxy-3,5-cyclohexadiene-1,4-dicarboxylate dehydrogenase",977,F,
DMKJLJHC_02870,2870 tphA1I,"Terephthalate 1,2-dioxygenase, reductase component 1",1016,F,
