E-value,score,bias,Sequence,start,end,Description
2.80E-170,580.8,85.7,2541047451,1105423,1104634,
3.20E-170,580.6,85.7,2731957678,740603,741392,
2.40E-164,561.2,26.7,2545824678,3357736,3356857,
1.40E-163,558.7,88.4,2541047451,1103958,1103169,
1.50E-162,555.3,89.2,2731957678,742068,742857,
5.70E-159,543.4,0.5,2548876808,2768678,2767781,
7.90E-159,543,74.6,2606217201,37382,38200,
7.90E-159,543,74.6,644736404,3029885,3030703,
1.50E-155,532.1,83,2648501326,2791111,2790261,
3.00E-152,521.2,81.4,2508501012,3949356,3950153,
4.10E-152,520.8,27.7,2667527388,991847,992669,
1.20E-151,519.2,112.8,2503754044,1778011,1778797,
4.20E-151,517.4,21.1,2663762778,2537917,2538713,
1.20E-150,515.9,79,2508501044,1619847,1620643,
2.40E-150,514.9,42.7,2667527383,1325455,1326289,
3.10E-150,514.6,91.9,2517093017,2786988,2787809,
7.30E-150,513.4,28.2,2619618872,1499854,1500650,
9.40E-150,513,0.2,2574180188,179344,180231,
1.40E-149,512.4,77.8,2508501119,3327110,3327908,
2.40E-149,511.7,80.4,2513237078,6151915,6151131,
2.80E-149,511.4,36.8,2663762775,1798665,1799466,
5.10E-149,510.6,120.2,2503754044,1776628,1777410,
9.60E-149,509.7,81.3,2512564010,26322,27106,
3.50E-148,507.8,73.9,2667527405,3491038,3490195,
3.80E-148,507.7,104.8,646311963,442237,443047,
3.90E-148,507.6,88.2,2517093016,3986392,3985599,
6.80E-148,506.9,88.1,2508501013,3881820,3882616,
8.40E-148,506.5,15.8,2667527220,1786217,1785430,
2.60E-147,504.9,83.4,2517287016,560444,559625,
3.10E-147,504.7,5.1,2667527456,862668,861775,
4.20E-147,504.2,105.4,646311963,1459019,1459868,
8.60E-147,503.2,102.6,2663762755,5379981,5379197,
1.10E-146,502.9,66.8,2509276054,3671195,3670397,
1.30E-146,502.6,72.2,2512564011,4737799,4738592,
2.00E-146,502,76.5,2634166327,2587775,2586966,
2.00E-146,502,76.5,2728369078,4305388,4304579,
4.60E-146,500.8,67.2,2615840661,4119548,4120368,
8.90E-146,499.8,84.8,2728369483,4377453,4378263,
9.40E-146,499.8,75,2585427649,2766036,2765230,
1.60E-145,499,81,2517287016,561621,560800,
1.70E-145,499,27.8,2663763599,2536708,2537504,
